"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
1,29,33,40,45,48,164,172,180,195,205,246,267,279,312,321,325,359,363,369,403,427,448,460,467,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,33,39,51,63,73,80,111,145,181,186,193,201,211,236,242,249,266,281,287,310,315,336,339,343,350,368,431,451,456,466,489,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,31,42,52,75,91,94,99,103,133,157,178,181,187,196,202,208,235,239,259,281,288,300,320,332,342,358,372,440,455,461,473,480,485,488,494,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,28,41,64,70,78,84,90,95,109,138,150,158,171,182,188,212,225,232,252,270,284,290,297,303,316,336,347,357,368,374,383,389,416,426,436,445,449,467,471,486,NA,NA,NA,NA
1,15,18,36,45,51,67,72,122,127,147,157,161,168,185,189,198,207,228,289,300,311,331,334,345,348,363,366,400,418,425,452,462,468,472,476,481,484,493,498,504,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,42,49,67,78,83,106,115,178,185,188,194,202,226,232,257,283,319,329,341,349,367,377,380,409,429,432,435,447,453,464,480,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,38,57,60,75,80,93,111,151,157,162,168,199,203,214,270,293,305,319,329,354,368,375,381,394,412,425,439,449,453,456,474,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,33,41,47,83,113,137,149,162,171,184,193,202,215,236,247,252,255,268,280,308,319,332,356,405,421,429,445,470,473,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,25,32,52,68,79,90,106,118,140,162,166,169,174,185,195,211,215,218,225,238,244,250,281,303,316,319,332,337,344,362,406,422,428,436,453,459,472,480,486,497,NA,NA,NA,NA
1,16,28,33,38,48,63,75,118,170,182,208,213,230,236,240,268,281,285,291,318,341,348,371,374,389,392,395,445,448,470,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,18,32,41,67,73,77,90,95,98,134,144,148,158,170,188,194,198,208,213,224,244,251,273,283,286,314,322,331,338,344,356,363,369,385,428,438,451,455,460,465,469,501,506,509
1,36,53,57,63,71,89,142,171,184,199,219,227,318,322,341,348,356,375,393,397,408,416,436,449,461,468,480,488,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,18,36,49,55,84,92,105,113,134,141,151,178,185,195,203,212,230,251,263,268,277,306,313,321,328,332,356,362,370,379,393,439,452,459,475,494,499,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,31,39,46,54,88,108,112,120,157,162,185,188,200,227,237,249,262,301,317,344,349,363,369,406,432,451,459,478,482,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,10,37,42,63,121,137,167,174,186,194,199,206,219,225,251,259,292,304,308,317,338,362,407,417,440,472,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,17,31,38,43,52,70,75,87,115,118,138,142,185,193,200,225,230,246,260,302,325,345,352,405,408,415,447,450,456,466,489,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,39,45,57,71,75,88,112,131,134,148,189,196,203,211,259,263,293,301,320,323,331,338,377,383,412,433,443,446,455,460,474,490,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,33,40,51,64,71,77,88,92,96,134,140,170,187,190,195,198,206,230,240,245,270,280,285,308,311,328,336,365,388,409,414,420,424,434,456,461,467,483,492,495,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,26,34,52,67,85,95,144,169,183,201,208,212,223,236,262,293,305,312,327,345,355,364,374,395,429,432,436,461,465,478,484,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,26,39,49,56,75,128,131,141,171,182,195,199,223,241,273,284,310,317,333,345,357,383,390,398,419,440,448,453,460,471,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,22,39,45,49,63,76,86,173,196,206,225,238,293,316,342,347,354,357,364,380,383,418,425,454,469,477,488,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,40,48,55,66,75,100,111,135,142,159,166,176,186,191,204,209,257,281,287,308,313,320,340,442,454,462,468,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,28,44,60,76,85,123,126,156,162,179,186,209,218,234,255,258,268,299,304,314,318,323,328,344,369,387,414,422,439,454,460,484,492,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,36,41,48,56,69,81,166,183,193,197,209,213,296,309,327,332,337,350,392,426,434,449,455,460,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,27,41,48,62,76,89,119,134,137,152,174,188,193,199,202,268,318,328,331,342,434,447,468,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,18,34,39,44,68,87,90,146,180,190,194,201,204,229,236,246,253,262,295,328,336,342,352,362,366,401,415,418,440,445,457,463,467,479,490,496,NA,NA,NA,NA,NA,NA,NA,NA
1,17,21,25,37,44,50,80,91,132,156,198,202,213,225,233,237,298,326,332,335,339,345,362,371,386,393,409,422,438,449,454,461,478,483,489,494,506,NA,NA,NA,NA,NA,NA,NA,NA
1,7,19,25,38,44,48,55,81,96,104,111,121,160,182,189,198,201,206,219,239,271,281,285,302,320,334,344,353,372,408,446,454,457,463,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,40,49,61,78,99,147,161,179,194,218,239,244,264,278,292,299,328,352,356,396,438,450,457,464,468,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,35,46,53,95,118,129,137,185,191,194,206,211,251,254,268,271,294,307,322,325,329,339,344,368,372,385,414,437,447,454,457,463,480,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,28,54,61,71,87,105,111,116,121,140,151,166,175,185,191,203,217,235,265,281,290,296,300,312,324,336,343,365,388,394,407,414,420,425,441,448,458,471,477,480,500,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,35,43,50,67,83,124,145,150,161,196,219,239,288,316,335,342,352,378,392,410,440,455,459,466,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,24,37,45,72,76,81,86,123,127,156,182,193,199,220,229,252,259,280,314,319,325,328,331,338,343,380,389,405,409,419,424,436,455,460,480,501,506,NA,NA,NA,NA,NA,NA,NA
